toko_id,tanggal,jumlah,keterangan
1,01/09/2025,27300613,September DESMARE
2,01/09/2025,7122210,September BEYA
1,28/10/2025,8935398,Oktober DESMARE
2,23/10/2025,10894503,Oktober BEYA
1,01/11/2025,4265889,November DESMARE
2,01/11/2025,12343849,November BEYA
